"","id","menu_id","page_number","image_id","full_height","full_width","uuid"
"1020",1437,12903,1,"475715",3856,2909,"510d47db-423b-a3d9-e040-e00a18064a99"
"1021",1438,12904,2,"4000008044",3241,2380,"510d47db-423c-a3d9-e040-e00a18064a99"
"1022",1439,12904,1,"475716",3237,2385,"510d47db-423d-a3d9-e040-e00a18064a99"
"1023",1440,12905,2,"4000008045",4305,2601,"510d47db-423e-a3d9-e040-e00a18064a99"
"1024",1441,12905,3,"4000008046",4298,2580,"510d47db-423f-a3d9-e040-e00a18064a99"
"1025",1442,12905,4,"4000008047",4295,2685,"510d47db-4240-a3d9-e040-e00a18064a99"
"1026",1443,12905,1,"475717",4310,2696,"510d47db-4241-a3d9-e040-e00a18064a99"
"1027",1444,12906,2,"4000008048",3937,2594,"510d47db-4242-a3d9-e040-e00a18064a99"
"1028",1445,12906,3,"4000008049",3931,2634,"510d47db-4243-a3d9-e040-e00a18064a99"
"1029",1446,12906,4,"4000008050",3925,2706,"510d47db-4244-a3d9-e040-e00a18064a99"
"1030",1447,12906,1,"475718",3959,2704,"510d47db-4245-a3d9-e040-e00a18064a99"
"1031",1448,12907,2,"4000008051",4080,2826,"510d47db-4246-a3d9-e040-e00a18064a99"
"1032",1449,12907,3,"4000008052",4066,2818,"510d47db-4247-a3d9-e040-e00a18064a99"
"1033",1450,12907,4,"4000008053",4070,2909,"510d47db-4248-a3d9-e040-e00a18064a99"
"1034",1451,12907,1,"475719",4071,2900,"510d47db-4249-a3d9-e040-e00a18064a99"
"1055",1480,12917,2,"4000008073",3877,2359,"510d47db-4266-a3d9-e040-e00a18064a99"
"1056",1481,12917,3,"4000008074",3894,2404,"510d47db-4267-a3d9-e040-e00a18064a99"
"1057",1482,12917,4,"4000008075",3864,2464,"510d47db-4268-a3d9-e040-e00a18064a99"
"1058",1483,12917,1,"475729",3864,2460,"510d47db-4269-a3d9-e040-e00a18064a99"
"1069",1494,12923,2,"4000008246",3512,2415,"510d47db-438d-a3d9-e040-e00a18064a99"
"1070",1495,12923,3,"4000008247",3482,2436,"510d47db-438e-a3d9-e040-e00a18064a99"
"1071",1496,12923,4,"4000008248",3500,2497,"510d47db-438f-a3d9-e040-e00a18064a99"
"1072",1497,12923,1,"475882",3486,2476,"510d47db-4390-a3d9-e040-e00a18064a99"
"1079",1504,12927,2,"4000008254",3923,2485,"510d47db-439b-a3d9-e040-e00a18064a99"
"1080",1505,12927,1,"475888",3890,2482,"510d47db-439c-a3d9-e040-e00a18064a99"
"1099",1532,12940,2,"4000009429",2807,1933,"510d47db-4a9e-a3d9-e040-e00a18064a99"
"1100",1533,12940,1,"467064",2823,1945,"510d47db-4a9f-a3d9-e040-e00a18064a99"
"1141",1574,12960,2,"4000008487",2338,1770,"510d47db-450b-a3d9-e040-e00a18064a99"
"1142",1575,12960,1,"466486",2289,1726,"510d47db-450c-a3d9-e040-e00a18064a99"
"1143",1576,12961,2,"4000008488",3087,1968,"510d47db-450d-a3d9-e040-e00a18064a99"
"1144",1577,12961,1,"466487",3089,1986,"510d47db-450e-a3d9-e040-e00a18064a99"
"1153",1586,12965,2,"4000008498",2865,2123,"510d47db-451b-a3d9-e040-e00a18064a99"
"1154",1587,12965,3,"4000008499",2854,2184,"510d47db-451c-a3d9-e040-e00a18064a99"
"1155",1588,12965,4,"4000008500",2875,2197,"510d47db-451d-a3d9-e040-e00a18064a99"
"1156",1589,12965,1,"466493",2891,2192,"510d47db-451e-a3d9-e040-e00a18064a99"
"1165",1598,12969,2,"4000008706",3033,2113,"510d47db-4674-a3d9-e040-e00a18064a99"
"1166",1599,12969,1,"466658",3034,2139,"510d47db-4675-a3d9-e040-e00a18064a99"
"1167",1600,12970,2,"4000008707",2940,1883,"510d47db-4676-a3d9-e040-e00a18064a99"
"1168",1601,12970,1,"466659",2930,1864,"510d47db-4677-a3d9-e040-e00a18064a99"
